code_ibge;name;slug;region_code
2306553;ITAREMA;Itarema;CE
2308351;MILHÃ;Milhã;CE
2310258;PARAIPABA;Paraipaba;CE
2400109;ACARI;Acari;RN
2400208;ASSU;Açu;RN
2400307;AFONSO BEZERRA;Afonso Bezerra;RN
2400406;ÁGUA NOVA;Água Nova;RN
2400505;ALEXANDRIA;Alexandria;RN
2400604;ALMINO AFONSO;Almino Afonso;RN
2400703;ALTO DO RODRIGUES;Alto do Rodrigues;RN
2400802;ANGICOS;Angicos;RN
2400901;ANTÔNIO MARTINS;Antônio Martins;RN
2401008;APODI;Apodi;RN
2401107;AREIA BRANCA;Areia Branca;RN
2401206;ARÊS;Arês;RN
2401305;CAMPO GRANDE;Campo Grande;RN
2401404;BAÍA FORMOSA;Baía Formosa;RN
2401503;BARCELONA;Barcelona;RN
2401602;BENTO FERNANDES;Bento Fernandes;RN
2401701;BOM JESUS;Bom Jesus;RN
2401800;BREJINHO;Brejinho;RN
2401909;CAIÇARA DO RIO DO VENTO;Caiçara do Rio do Vento;RN
2402006;CAICÓ;Caicó;RN
2402105;CAMPO REDONDO;Campo Redondo;RN
2402204;CANGUARETAMA;Canguaretama;RN
2402303;CARAÚBAS;Caraúbas;RN
2402402;CARNAÚBA DOS DANTAS;Carnaúba dos Dantas;RN
2402501;CARNAUBAIS;Carnaubais;RN
2402600;CEARÁ-MIRIM;Ceará-Mirim;RN
2402709;CERRO CORÁ;Cerro Corá;RN
2402808;CORONEL EZEQUIEL;Coronel Ezequiel;RN
2402907;CORONEL JOÃO PESSOA;Coronel João Pessoa;RN
2403004;CRUZETA;Cruzeta;RN
2403103;CURRAIS NOVOS;Currais Novos;RN
2403202;DOUTOR SEVERIANO;Doutor Severiano;RN
2403301;ENCANTO;Encanto;RN
2403400;EQUADOR;Equador;RN
2403509;ESPÍRITO SANTO;Espírito Santo;RN
2403608;EXTREMOZ;Extremoz;RN
2403707;FELIPE GUERRA;Felipe Guerra;RN
2403806;FLORÂNIA;Florânia;RN
2403905;FRANCISCO DANTAS;Francisco Dantas;RN
2404101;GALINHOS;Galinhos;RN
2404200;GOIANINHA;Goianinha;RN
2404309;GOVERNADOR DIX-SEPT ROSADO;Governador Dix-Sept Rosado;RN
2404408;GROSSOS;Grossos;RN
2404507;GUAMARÉ;Guamaré;RN
2404606;IELMO MARINHO;Ielmo Marinho;RN
2404705;IPANGUAÇU;Ipanguaçu;RN
2404804;IPUEIRA;Ipueira;RN
2404903;ITAÚ;Itaú;RN
2405009;JAÇANÃ;Jaçanã;RN
2405108;JANDAÍRA;Jandaíra;RN
2405207;JANDUÍS;Janduís;RN
2405306;BOA SAÚDE;Januário Cicco;RN
2405405;JAPI;Japi;RN
2405504;JARDIM DE ANGICOS;Jardim de Angicos;RN
2405603;JARDIM DE PIRANHAS;Jardim de Piranhas;RN
2405702;JARDIM DO SERIDÓ;Jardim do Seridó;RN
2405801;JOÃO CÂMARA;João Câmara;RN
2405900;JOÃO DIAS;João Dias;RN
2406007;JOSÉ DA PENHA;José da Penha;RN
2406106;JUCURUTU;Jucurutu;RN
2407609;MESSIAS TARGINO;Messias Targino;RN
2406205;Lagoa d'Anta;Lagoa d'Anta;RN
2406304;LAGOA DE PEDRAS;Lagoa de Pedras;RN
2406403;LAGOA DE VELHOS;Lagoa de Velhos;RN
2406502;LAGOA NOVA;Lagoa Nova;RN
2406601;LAGOA SALGADA;Lagoa Salgada;RN
2406700;LAJES;Lajes;RN
2406809;LAJES PINTADAS;Lajes Pintadas;RN
2406908;LUCRÉCIA;Lucrécia;RN
2407005;LUÍS GOMES;Luís Gomes;RN
2407104;MACAÍBA;Macaíba;RN
2407203;MACAU;Macau;RN
2407302;MARCELINO VIEIRA;Marcelino Vieira;RN
2407401;MARTINS;Martins;RN
2407500;MAXARANGUAPE;Maxaranguape;RN
2404002;FRUTUOSO GOMES;Frutuoso Gomes;RN
2407708;MONTANHAS;Montanhas;RN
2407807;MONTE ALEGRE;Monte Alegre;RN
2407906;MONTE DAS GAMELEIRAS;Monte das Gameleiras;RN
2408003;MOSSORÓ;Mossoró;RN
2408102;NATAL;Natal;RN
2408201;NÍSIA FLORESTA;Nísia Floresta;RN
2408300;NOVA CRUZ;Nova Cruz;RN
2408409;OLHO D'AGUA DO BORGES;Olho d'Água do Borges;RN
2408508;OURO BRANCO;Ouro Branco;RN
2408607;PARANÁ;Paraná;RN
2408706;PARAÚ;Paraú;RN
2408805;PARAZINHO;Parazinho;RN
2408904;PARELHAS;Parelhas;RN
2403251;PARNAMIRIM;Parnamirim;RN
2409100;PASSA E FICA;Passa e Fica;RN
2409209;PASSAGEM;Passagem;RN
2409308;PATU;Patu;RN
2409407;PAU DOS FERROS;Pau dos Ferros;RN
2409506;PEDRA GRANDE;Pedra Grande;RN
2409605;PEDRA PRETA;Pedra Preta;RN
2409704;PEDRO AVELINO;Pedro Avelino;RN
2409803;PEDRO VELHO;Pedro Velho;RN
2409902;PENDÊNCIAS;Pendências;RN
2410009;PILÕES;Pilões;RN
2410108;POÇO BRANCO;Poço Branco;RN
2410207;PORTALEGRE;Portalegre;RN
2410306;SERRA CAIADA;Serra Caiada;RN
2410405;PUREZA;Pureza;RN
2410504;RAFAEL FERNANDES;Rafael Fernandes;RN
2410702;RIACHO DA CRUZ;Riacho da Cruz;RN
2410801;RIACHO DE SANTANA;Riacho de Santana;RN
2410900;RIACHUELO;Riachuelo;RN
2411007;RODOLFO FERNANDES;Rodolfo Fernandes;RN
2411106;RUY BARBOSA;Ruy Barbosa;RN
2411908;SÃO FRANCISCO DO OESTE;São Francisco do Oeste;RN
2411205;SANTA CRUZ;Santa Cruz;RN
2411429;SANTANA DO SERIDÓ;Santana do Seridó;RN
2411403;SANTANA DO MATOS;Santana do Matos;RN
2411502;SANTO ANTÔNIO;Santo Antônio;RN
2411601;SÃO BENTO DO NORTE;São Bento do Norte;RN
2411700;SÃO BENTO DO TRAIRÍ;São Bento do Trairí;RN
2411809;SÃO FERNANDO;São Fernando;RN
2412005;SÃO GONÇALO DO AMARANTE;São Gonçalo do Amarante;RN
2412104;SÃO JOÃO DO SABUGI;São João do Sabugi;RN
2412203;SÃO JOSÉ DE MIPIBU;São José de Mipibu;RN
2412302;SÃO JOSÉ DO CAMPESTRE;São José do Campestre;RN
2412401;SÃO JOSÉ DO SERIDÓ;São José do Seridó;RN
2412500;SÃO MIGUEL;São Miguel;RN
2412609;SÃO PAULO DO POTENGI;São Paulo do Potengi;RN
2412708;SÃO PEDRO;São Pedro;RN
2412807;SÃO RAFAEL;São Rafael;RN
2412906;SÃO TOMÉ;São Tomé;RN
2413003;SÃO VICENTE;São Vicente;RN
2413102;SENADOR ELÓI DE SOUZA;Senador Elói de Souza;RN
2413201;SENADOR GEORGINO AVELINO;Senador Georgino Avelino;RN
2413300;SERRA DE SÃO BENTO;Serra de São Bento;RN
2413409;SERRA NEGRA DO NORTE;Serra Negra do Norte;RN
2413508;SERRINHA;Serrinha;RN
2413607;SEVERIANO MELO;Severiano Melo;RN
2413706;SÍTIO NOVO;Sítio Novo;RN
2413805;TABOLEIRO GRANDE;Taboleiro Grande;RN
2413904;TAIPU;Taipu;RN
2414001;TANGARÁ;Tangará;RN
2414100;TENENTE ANANIAS;Tenente Ananias;RN
2414209;TIBAU DO SUL;Tibau do Sul;RN
2414308;TIMBAÚBA DOS BATISTAS;Timbaúba dos Batistas;RN
2414407;TOUROS;Touros;RN
2414506;UMARIZAL;Umarizal;RN
2414605;UPANEMA;Upanema;RN
2414704;VÁRZEA;Várzea;RN
2410603;RAFAEL GODEIRO;Rafael Godeiro;RN
2414803;VERA CRUZ;Vera Cruz;RN
2414902;VIÇOSA;Viçosa;RN
2415008;VILA FLOR;Vila Flor;RN
2500106;ÁGUA BRANCA;Água Branca;PB
2500205;AGUIAR;Aguiar;PB
2500304;ALAGOA GRANDE;Alagoa Grande;PB
2500403;ALAGOA NOVA;Alagoa Nova;PB
2500502;ALAGOINHA;Alagoinha;PB
2500601;ALHANDRA;Alhandra;PB
2500700;SÃO JOÃO DO RIO DO PEIXE;São João do Rio do Peixe;PB
2500809;ARAÇAGI;Araçagi;PB
2500908;ARARA;Arara;PB
2501005;ARARUNA;Araruna;PB
2501104;AREIA;Areia;PB
2501203;AREIAL;Areial;PB
2501302;AROEIRAS;Aroeiras;PB
2413359;SERRA DO MEL;Serra do Mel;RN
2501401;BAÍA DA TRAIÇÃO;Baía da Traição;PB
2501500;BANANEIRAS;Bananeiras;PB
2501609;BARRA DE SANTA ROSA;Barra de Santa Rosa;PB
2501708;BARRA DE SÃO MIGUEL;Barra de São Miguel;PB
2501807;BAYEUX;Bayeux;PB
2501906;BELÉM;Belém;PB
2502003;BELÉM DO BREJO DO CRUZ;Belém do Brejo do Cruz;PB
2502102;BOA VENTURA;Boa Ventura;PB
2502201;BOM JESUS;Bom Jesus;PB
2502300;BOM SUCESSO;Bom Sucesso;PB
2502409;BONITO DE SANTA FÉ;Bonito de Santa Fé;PB
2502508;BOQUEIRÃO;Boqueirão;PB
2502607;IGARACY;Igaracy;PB
2502706;BORBOREMA;Borborema;PB
2502805;BREJO DO CRUZ;Brejo do Cruz;PB
2502904;BREJO DOS SANTOS;Brejo dos Santos;PB
2503001;CAAPORÃ;Caaporã;PB
2503100;CABACEIRAS;Cabaceiras;PB
2503209;CABEDELO;Cabedelo;PB
2503308;CACHOEIRA DOS ÍNDIOS;Cachoeira dos Índios;PB
2503407;CACIMBA DE AREIA;Cacimba de Areia;PB
2503506;CACIMBA DE DENTRO;Cacimba de Dentro;PB
2503605;CAIÇARA;Caiçara;PB
2503704;CAJAZEIRAS;Cajazeiras;PB
2503803;CALDAS BRANDÃO;Caldas Brandão;PB
2503902;CAMALAÚ;Camalaú;PB
2504009;CAMPINA GRANDE;Campina Grande;PB
2504108;CARRAPATEIRA;Carrapateira;PB
2504207;CATINGUEIRA;Catingueira;PB
2504306;CATOLÉ DO ROCHA;Catolé do Rocha;PB
2504405;CONCEIÇÃO;Conceição;PB
2504504;CONDADO;Condado;PB
2504603;CONDE;Conde;PB
2504702;CONGO;Congo;PB
2504801;COREMAS;Coremas;PB
2504900;CRUZ DO ESPÍRITO SANTO;Cruz do Espírito Santo;PB
2505006;CUBATI;Cubati;PB
2505105;CUITÉ;Cuité;PB
2505204;CUITEGI;Cuitegi;PB
2505303;CURRAL VELHO;Curral Velho;PB
2505402;DESTERRO;Desterro;PB
2505501;VISTA SERRANA;Vista Serrana;PB
2505600;DIAMANTE;Diamante;PB
2505709;DONA INÊS;Dona Inês;PB
2505808;DUAS ESTRADAS;Duas Estradas;PB
2505907;EMAS;Emas;PB
2506004;ESPERANÇA;Esperança;PB
2506103;FAGUNDES;Fagundes;PB
2506202;FREI MARTINHO;Frei Martinho;PB
2506301;GUARABIRA;Guarabira;PB
2506400;GURINHÉM;Gurinhém;PB
2506509;GURJÃO;Gurjão;PB
2506608;IBIARA;Ibiara;PB
2506707;IMACULADA;Imaculada;PB
2506806;INGÁ;Ingá;PB
2506905;ITABAIANA;Itabaiana;PB
2507002;ITAPORANGA;Itaporanga;PB
2507101;ITAPOROROCA;Itapororoca;PB
2507200;ITATUBA;Itatuba;PB
2507309;JACARAÚ;Jacaraú;PB
2507408;JERICÓ;Jericó;PB
2507507;JOÃO PESSOA;João Pessoa;PB
2507606;JUAREZ TÁVORA;Juarez Távora;PB
2507705;JUAZEIRINHO;Juazeirinho;PB
2507804;JUNCO DO SERIDÓ;Junco do Seridó;PB
2507903;JURIPIRANGA;Juripiranga;PB
2508000;JURU;Juru;PB
2508109;LAGOA;Lagoa;PB
2508208;LAGOA DE DENTRO;Lagoa de Dentro;PB
2508307;LAGOA SECA;Lagoa Seca;PB
2508406;LASTRO;Lastro;PB
2508505;LIVRAMENTO;Livramento;PB
2508604;LUCENA;Lucena;PB
2508703;MÃE D'ÁGUA;Mãe d'Água;PB
2508802;MALTA;Malta;PB
2508901;MAMANGUAPE;Mamanguape;PB
2509008;MANAÍRA;Manaíra;PB
2509107;MARI;Mari;PB
2509206;MASSARANDUBA;Massaranduba;PB
2509305;MATARACA;Mataraca;PB
2509404;MOGEIRO;Mogeiro;PB
2509503;MONTADAS;Montadas;PB
2509602;MONTE HOREBE;Monte Horebe;PB
2509701;MONTEIRO;Monteiro;PB
2509800;MULUNGU;Mulungu;PB
2509909;NATUBA;Natuba;PB
2510006;NAZAREZINHO;Nazarezinho;PB
2510105;NOVA FLORESTA;Nova Floresta;PB
2510204;NOVA OLINDA;Nova Olinda;PB
2510303;NOVA PALMEIRA;Nova Palmeira;PB
2510402;OLHO D'ÁGUA;Olho d'Água;PB
2510501;OLIVEDOS;Olivedos;PB
2510600;OURO VELHO;Ouro Velho;PB
2510709;PASSAGEM;Passagem;PB
2510808;PATOS;Patos;PB
2510907;PAULISTA;Paulista;PB
2511004;PEDRA BRANCA;Pedra Branca;PB
2511103;PEDRA LAVRADA;Pedra Lavrada;PB
2511202;PEDRAS DE FOGO;Pedras de Fogo;PB
2511301;PIANCÓ;Piancó;PB
2511400;PICUÍ;Picuí;PB
2511509;PILAR;Pilar;PB
2511608;PILÕES;Pilões;PB
2511707;PILÕEZINHOS;Pilõezinhos;PB
2511806;PIRPIRITUBA;Pirpirituba;PB
2511905;PITIMBU;Pitimbu;PB
2512002;POCINHOS;Pocinhos;PB
2512101;POMBAL;Pombal;PB
2512200;PRATA;Prata;PB
2512309;PRINCESA ISABEL;Princesa Isabel;PB
2512408;PUXINANÃ;Puxinanã;PB
2512507;QUEIMADAS;Queimadas;PB
2512606;QUIXABÁ;Quixaba;PB
2512705;REMÍGIO;Remígio;PB
2512804;RIACHO DOS CAVALOS;Riacho dos Cavalos;PB
2512903;RIO TINTO;Rio Tinto;PB
2513000;SALGADINHO;Salgadinho;PB
2513109;SALGADO DE SÃO FÉLIX;Salgado de São Félix;PB
2513208;SANTA CRUZ;Santa Cruz;PB
2513307;SANTA HELENA;Santa Helena;PB
2513406;SANTA LUZIA;Santa Luzia;PB
2513505;SANTANA DE MANGUEIRA;Santana de Mangueira;PB
2513604;SANTANA DOS GARROTES;Santana dos Garrotes;PB
2513703;SANTA RITA;Santa Rita;PB
2513802;SANTA TERESINHA;Santa Teresinha;PB
2513901;SÃO BENTO;São Bento;PB
2514008;SÃO JOÃO DO CARIRI;São João do Cariri;PB
2514107;SÃO JOÃO DO TIGRE;São João do Tigre;PB
2514206;SÃO JOSÉ DA LAGOA TAPADA;São José da Lagoa Tapada;PB
2514305;SÃO JOSÉ DE CAIANA;São José de Caiana;PB
2514404;SÃO JOSÉ DE ESPINHARAS;São José de Espinharas;PB
2514503;SÃO JOSÉ DE PIRANHAS;São José de Piranhas;PB
2514602;SÃO JOSÉ DO BONFIM;São José do Bonfim;PB
2514701;SÃO JOSÉ DO SABUGI;São José do Sabugi;PB
2514800;SÃO JOSÉ DOS CORDEIROS;São José dos Cordeiros;PB
2514909;SÃO MAMEDE;São Mamede;PB
2515005;SÃO MIGUEL DE TAIPU;São Miguel de Taipu;PB
2515104;SÃO SEBASTIÃO DE LAGOA DE ROÇA;São Sebastião de Lagoa de Roça;PB
2515203;SÃO SEBASTIÃO DO UMBUZEIRO;São Sebastião do Umbuzeiro;PB
2515302;SAPÉ;Sapé;PB
2515401;SÃO VICENTE DO SERIDÓ;São Vicente do Seridó;PB
2515500;SERRA BRANCA;Serra Branca;PB
2515609;SERRA DA RAIZ;Serra da Raiz;PB
2515708;SERRA GRANDE;Serra Grande;PB
2515807;SERRA REDONDA;Serra Redonda;PB
2515906;SERRARIA;Serraria;PB
2516003;SOLÂNEA;Solânea;PB
2516102;SOLEDADE;Soledade;PB
2516201;SOUSA;Sousa;PB
2516300;SUMÉ;Sumé;PB
2516409;TACIMA;Tacima;PB
2516508;TAPEROÁ;Taperoá;PB
2516607;TAVARES;Tavares;PB
2516706;TEIXEIRA;Teixeira;PB
2516805;TRIUNFO;Triunfo;PB
2516904;UIRAÚNA;Uiraúna;PB
2517001;UMBUZEIRO;Umbuzeiro;PB
2517100;VÁRZEA;Várzea;PB
2201150;BAIXA GRANDE DO RIBEIRO;Baixa Grande do Ribeiro;PI
2202251;CANAVIEIRA;Canavieira;PI
2202752;COLÔNIA DO GURGUÉIA;Colônia do Gurguéia;PI
2201929;BONFIM DO PIAUÍ;Bonfim do Piauí;PI
2202778;COLÔNIA DO PIAUÍ;Colônia do Piauí;PI
2202851;CORONEL JOSÉ DIAS;Coronel José Dias;PI
2203750;FARTURA DO PIAUÍ;Fartura do Piauí;PI
2205565;LAGOA DO BARRO DO PIAUÍ;Lagoa do Barro do Piauí;PI
2209377;SANTA ROSA DO PIAUÍ;Santa Rosa do Piauí;PI
2209559;SÃO BRAZ DO PIAUÍ;São Braz do Piauí;PI
2210359;SÃO LOURENÇO DO PIAUÍ;São Lourenço do Piauí;PI
2211357;VÁRZEA BRANCA;Várzea Branca;PI
